dt,U_SIN_middle,dU_SIN_middle,U_SIN_side,dU_SIN_side,U_SIN_blitz,dU_SIN_blitz,U_SIN_side_central_OU,dU_SIN_side_central_OU,U_NHL_middle,dU_NHL_middle,U_NHL_side,dU_NHL_side,U_NHL_blitz,dU_NHL_blitz,U_NHL_side_central_OU,dU_NHL_side_central_OU
0.2,-44.7602918379826,0.008612018980535,-44.7509317108493,0.008602279804573,-44.7562376045128,0.009060434512309,-44.7399802021464,0.008063937881133,-44.7617216990549,0.007428227956841,-44.738298967268,0.007015311906883,-44.7590939617369,0.007201807138751,-44.7405223989936,0.007221948994599
0.4,-44.7512795230197,0.008336583068327,-44.7288250015122,0.008388699164221,-44.7614725470007,0.008308972680596,-44.7459362843595,0.007501336869777,-44.7718578606808,0.007338127241099,-44.6964485864544,0.007482122841678,-44.7793203126347,0.007049458133307,-44.6980614893421,0.007974085977407
0.6,-44.7584466523847,0.007658486332827,-44.7141424897832,0.007388058744092,-44.7580133211666,0.009417412150042,-44.7163443619745,0.008438094973122,-44.789967734887,0.007026425448435,-44.640907929772,0.007457268172168,-44.7904716358966,0.007514310034186,-44.6359054368438,0.007102277868829
0.8,-44.7605264540339,0.007970012375442,-44.6820262649782,0.008362698961851,-44.7550302812205,0.008012128660952,-44.6837348654506,0.009704233529205,-44.8050080485116,0.007459145751857,-44.5372676879128,0.007470775816947,-44.8182749313941,0.007580607408591,-44.5195900281314,0.007515592301599
1,-44.7579836028082,0.007636111168478,-44.6292287838448,0.007795920811821,-44.7655501885982,0.009717163255394,-44.631103254494,0.008437612182899,-44.8590562978229,0.008364892598892,-44.4145892049488,0.007665517832831,-44.865439254652,0.008021377453385,-44.387384363641,0.006839337704945
1.2,-44.7634258432586,0.007844261907909,-44.5760659676182,0.009233007434377,-44.7487776054116,0.008820692513639,-44.5709258666198,0.008638660490721,-44.8985342389029,0.008477958926458,-44.2217649762387,0.006992241141282,-44.9038895150366,0.007829932734493,-44.1926794003132,0.007274897153384
1.4,-44.761160246115,0.009322259009201,-44.4909753929073,0.007264819888685,-44.7530410956881,0.008949112201601,-44.474182200238,0.008181519108038,-44.945894492902,0.007127027959026,-43.9952090660066,0.00764444232956,-44.9511243175771,0.007063369366398,-43.9437037077428,0.006823063617261
1.6,-44.7440640147684,0.009366196942323,-44.3810645163672,0.007922620489485,-44.7380713208752,0.00767519372457,-44.3672009028159,0.007318030637119,-45.0244654958903,0.007359000937091,-43.6699100955419,0.008062005203558,-45.0148874788701,0.007007805741141,-43.5944843855101,0.008037950898694
1.8,-44.711580470318,0.008307554331408,-44.2077275498471,0.007607117317279,-44.7020975692027,0.008242882157065,-44.220768190406,0.008538611671059,-45.0947859544098,0.007153558204318,-43.2227523102737,0.00682220162447,-45.0894121210907,0.008098202032457,-43.1319606847842,0.007448415890127
2,-44.6146598562356,0.007926099530261,-44.002612345901,0.009044064043992,-44.6428434826742,0.009488994459677,-43.9710982829282,0.008154410654984,-45.1680057094024,0.007816724819861,-42.5514253786682,0.007781222212906,-45.1642991737505,0.008582114480698,-42.4623311164226,0.007772669334093
